Miasto;Rok;Wegiel_koks;Rudy;Inne masowe;Zboże;Drewno;Drobnica;Ropa i przetw. naftowe;Razem
Gdansk;2020;5659;534;4534;1499;12;22109;13692;48038
Gdynia;2020;1685;0;1564;5431;102;14108;1772;24662
Szczecin;2020;2557;1685;3140;1876;104;16874;4942;31178
Gdansk;2019;6771;14;4112;612;256;22891;17498;52154
Gdynia;2019;2877;0;1492;3221;365;14148;1863;23965
Szczecin;2019;3130;2273;3351;1304;200;17512;4406;32175
Gdansk;2018;7186;10;3914;559;429;21422;15512;49032
Gdynia;2018;2629;0;1311;2995;979;13817;1760;23491
Szczecin;2018;3440;3226;3373;1095;76;13431;3973;28614
Gdansk;2017;5083;93;3444;774;3;18050;13168;40614
Gdynia;2017;2135;15;1079;3483;234;12460;1819;21225
Szczecin;2017;2139;2483;3077;1462;16;12870;3378;25424
