towar;2017;2018;2019;2020;miasto
Wegiel_koks;5083;7186;6771;5659;Gd
Rudy;93;10;14;534;Gd
Inne masowe;3444;3914;4112;4534;Gd
Zboze;774;559;612;1499;Gd
Drewno;3;429;256;12;Gd
Drobnica;18050;21422;22891;22109;Gd
Ropa;13168;15512;17498;13692;Gd
Razem;40614;49032;52154;48038;Gd
Kontenery;1580508;1948974;2073215;1923785;Gd
Wegiel_koks;2135;2629;2877;1685;Ga
Rudy;15;0;0;0;Ga
Inne masowe;1079;1311;1492;1564;Ga
Zboze;3483;2995;3221;5431;Ga
Drewno;234;979;365;102;Ga
Drobnica;12460;13817;14148;14108;Ga
Ropa;1819;1760;1863;1772;Ga
Kontenery;710698;803871;896968;905121;Ga
Razem;21225;23491;23965;24662;Ga
Wegiel_koks;2139;3440;3130;2557;Sz
Rudy;2483;3226;2273;1685;Sz
Inne masowe;3077;3373;3351;3140;Sz
Zboze;1462;1095;1304;1876;Sz
Drewno;16;76;200;104;Sz
Drobnica;12870;13431;17512;16874;Sz
Ropa;3378;3973;4406;4942;Sz
Kontenery;93579;81451;76143;86816;Sz
Razem;25424;28614;32175;31178;Sz
